Data,Temp. Ins. (C),Pressao Ins. (hPa)
01/09/2025,"28,3","1005,7"
01/09/2025,"27,4","1006,8"
01/09/2025,"26,7","1007,5"
01/09/2025,"26,5","1007,3"
01/09/2025,"26,3","1006,8"
01/09/2025,"25,9","1006,3"
01/09/2025,"25,6","1005,8"
01/09/2025,"25,3","1005,7"
01/09/2025,"25,4","1005,9"
01/09/2025,"25,4","1006,3"
01/09/2025,"25,5","1007,1"
01/09/2025,27,"1007,8"
01/09/2025,"29,5","1008,2"
01/09/2025,"31,1","1008,4"
01/09/2025,"30,9","1008,6"
01/09/2025,"31,2","1008,1"
01/09/2025,33,"1007,7"
01/09/2025,"33,3","1006,6"
01/09/2025,"33,6",1006
01/09/2025,"33,4","1005,3"
01/09/2025,"33,4","1005,1"
01/09/2025,"31,7","1004,9"
01/09/2025,"29,9","1005,2"
01/09/2025,"28,7","1005,8"
02/09/2025,"27,9",1006
02/09/2025,28,"1006,2"
02/09/2025,"28,1","1006,8"
02/09/2025,"27,7","1007,2"
02/09/2025,"26,3","1007,1"
02/09/2025,"25,8","1006,4"
02/09/2025,"25,6","1005,8"
02/09/2025,"25,5","1005,9"
02/09/2025,"25,5","1006,4"
02/09/2025,"25,5","1006,4"
02/09/2025,"25,2","1006,9"
02/09/2025,"26,4","1007,7"
02/09/2025,"29,3","1008,6"
02/09/2025,"30,7","1008,9"
02/09/2025,"32,2",1009
02/09/2025,"32,7","1008,3"
02/09/2025,"33,1","1007,2"
02/09/2025,"33,9","1005,9"
02/09/2025,34,"1004,9"
02/09/2025,"33,6","1004,2"
02/09/2025,"33,4","1003,6"
02/09/2025,"32,2","1003,5"
02/09/2025,"30,7","1003,7"
02/09/2025,29,"1003,8"
03/09/2025,"28,5","1004,6"
03/09/2025,28,"1005,5"
03/09/2025,"27,5","1006,3"
03/09/2025,27,1007
03/09/2025,"26,8","1006,6"
03/09/2025,27,"1006,2"
03/09/2025,27,"1005,5"
03/09/2025,"25,9","1005,8"
03/09/2025,"25,7","1006,2"
03/09/2025,"26,9","1006,7"
03/09/2025,26,"1007,1"
03/09/2025,"27,1",1008
03/09/2025,"29,6","1008,2"
03/09/2025,"31,8","1008,7"
03/09/2025,"33,1","1008,8"
03/09/2025,"34,4","1008,3"
03/09/2025,"33,7","1007,7"
03/09/2025,"34,7","1006,6"
03/09/2025,"35,3","1005,1"
03/09/2025,"34,6","1003,7"
03/09/2025,"34,1","1002,8"
03/09/2025,"32,8","1002,7"
03/09/2025,"30,9","1003,4"
03/09/2025,"29,6","1004,8"
04/09/2025,"28,9","1005,9"
04/09/2025,"28,2","1006,4"
04/09/2025,"28,1","1007,2"
04/09/2025,"27,8","1007,2"
04/09/2025,"27,2",
04/09/2025,"26,4","1006,6"
04/09/2025,"26,3","1006,1"
04/09/2025,"25,8","1006,3"
04/09/2025,"25,4","1006,5"
04/09/2025,25,"1006,6"
04/09/2025,"25,2","1007,4"
04/09/2025,"25,9","1008,1"
04/09/2025,"28,3","1009,1"
04/09/2025,"29,3","1009,8"
04/09/2025,"28,6",1010
04/09/2025,"30,8","1009,5"
04/09/2025,"31,8","1008,7"
04/09/2025,"32,8","1007,2"
